OVERLAYS
    ">Saving","> Sauvegarder"
    ">Checking for updates",">Vérifier mises à jour"


BUTTONS
    "> Settings","> Réglages"


MENU ITEMS
    ">Current page",">Page courante"
    ">Menu",">Menu"
    ">Files",">Fichiers"
    ">Themes",">Thèmes"
    ">Plugins",">Plugins"
    ">Security",">Sécurité"


CURRENT PAGE
    ">Page title",">Titre de la page"
    ">Page keywords",">Mots-clés de la page"
    ">Page description",">Description de la page"
    "> Delete page","> Supprimer la page"
    "return confirm\('Delete (.*?)\?'\)","return confirm('Supprimer $1?')"


MENU
    ">Website title","> Titre du site"
    ">Page to display on homepage","> Page à afficher en page d'accueil"
    ">visit",">Afficher"
    "> Add page","> Ajouter une page"


FILES
    ">Upload","> Envoi"
    ">Delete files","> Supprimer les fichiers"


THEMES AND PLUGINS
    "> Check for updates","> Vérifier les nouveautés"
    "return confirm\('Remove (.*?)\?'\)","return confirm('Supprimer $1?')"
    ">Active",">V Actif"
    "return confirm\('Activate (.*?) theme\?'\)","return confirm('Activer $1?')"
    "> Activate","> Activer"
    "> More info","> Plus d'infos"
    "> Install","> Installer"
    ">Installed version:",">Version installée:"
    ">Custom repository",">Dossier personnalisé"
    "Enter URL to custom repository","Entrer l'URL du dossier personnalisé"
    "> Add", "> Ajouter"
    "> Read more about custom repositories",">En savoir plus sur les dossiers personnalisés"


SECURITY
    ">Admin login URL","> URL de connexion administrateur"
    ">Save your login URL to log in to your website next time:",">Sauvez votre URL de connexion pour vous connecter à votre site la prochaine fois"
    ">Password",">Mot de passe"
    "Old password","Ancien mot de passe"
    "New password","Nouveau mot de passe"
    "> Change password","> Modifier le mot de passe"

    "> How to restore backup","> Comment remettre en ligne une sauvegarde"
    ">Improved security \(Apache only\)",">Sécurité renforcée (Apache seulement)"
    ">HTTPS redirect, 30 day caching, iframes allowed only from same origin, mime type sniffing prevention, stricter cookie and refferer policy.",">Redirection HTTPS, 30 jours de cache, iframes autorisées seulement de la même provenance, prévention du sniffing par mime type, politique plus stricte en matière de cookies et de référents."
    ">ON \(warning: may break your website\)",">ON (Attention: peut casser votre site)"
    ">OFF \(reset htaccess to default\)",">OFF (restaurer le fichier htaccess par défaut)"
    "> Read more before enabling","> Lire ici avant d'activer"
    ">Backup","> Sauvegardes"
    "> Backup website","> Sauvegarder le site internet"
    ">Last 5 logins",">5 dernières connexions"


STATISTICS
    ">Statistics",">Statistiques"
    ">Today",">Aujourd'hui"
    ">This week",">Cette semaine"
    ">Most popular page",">Page la plus populaire"
    ">Pageviews last two weeks",">Vues des deux dernières semaines"
    ">Sessions last two weeks",">Sessions des deux dernières semaines"
    ">Sessions",">Sessions"
    ">Pageviews",">Vues"


FOOTER
    ">News",">News"
    ">Community",">Forum"
    ">Docs",">Documentation"
    ">Donate",">Dons"
    ">Shop\/Merch",">T-shirts"
